,season,Number of Games,player,team,height,weight,games_played,games missed,percentage of games missed,minutes_per_game
0,98-99,50,A.C. Green,DAL,6-9,220,50,0,0.0,18.5
1,99-00,82,A.C. Green,LAL,6-9,220,82,0,0.0,23.5
2,00-01,82,A.C. Green,MIA,6-9,220,82,0,0.0,17.2
3,98-99,50,Aaron McKie,PHI,6-5,209,50,0,0.0,19.2
4,99-00,82,Aaron McKie,PHI,6-5,209,82,0,0.0,23.8
5,00-01,82,Aaron McKie,PHI,6-5,209,76,6,7.3,31.5
6,01-02,82,Aaron McKie,PHI,6-5,209,48,34,41.5,30.6
7,02-03,82,Aaron McKie,PHI,6-5,209,80,2,2.4,29.7
8,03-04,82,Aaron McKie,PHI,6-5,209,75,7,8.5,28.1
9,04-05,82,Aaron McKie,PHI,6-5,209,68,14,17.1,16.4
10,98-99,50,Aaron Williams,SEA,6-9,200,40,10,20.0,11.4
11,99-00,82,Aaron Williams,WAS,6-9,200,81,1,1.2,19.1
12,00-01,82,Aaron Williams,NJN,6-9,200,82,0,0.0,28.5
13,01-02,82,Aaron Williams,NJN,6-9,200,82,0,0.0,18.9
14,02-03,82,Aaron Williams,NJN,6-9,200,81,1,1.2,19.7
15,03-04,82,Aaron Williams,NJN,6-9,200,72,10,12.2,18.6
16,05-06,82,Aaron Williams,NOP,6-9,200,47,35,42.7,16.8
17,98-99,50,Adam Keefe,UTA,6-4,185,44,6,12.0,14.6
18,99-00,82,Adam Keefe,UTA,6-4,185,62,20,24.4,9.7
19,00-01,82,Adam Keefe,GSW,6-4,185,67,15,18.3,12.5
20,98-99,50,Adonal Foyle,GSW,6-10,250,44,6,12.0,14.0
21,99-00,82,Adonal Foyle,GSW,6-10,250,76,6,7.3,21.7
22,00-01,82,Adonal Foyle,GSW,6-10,250,58,24,29.3,25.1
23,01-02,82,Adonal Foyle,GSW,6-10,250,79,3,3.7,18.8
24,02-03,82,Adonal Foyle,GSW,6-10,250,82,0,0.0,21.8
25,03-04,82,Adonal Foyle,GSW,6-10,250,44,38,46.3,13.0
26,04-05,82,Adonal Foyle,GSW,6-10,250,78,4,4.9,21.8
27,05-06,82,Adonal Foyle,GSW,6-10,250,77,5,6.1,23.7
28,06-07,82,Adonal Foyle,GSW,6-10,250,48,34,41.5,9.9
29,07-08,82,Adonal Foyle,ORL,6-10,250,82,0,0.0,9.4
30,98-99,50,Alan Henderson,ATL,6-9,235,38,12,24.0,30.1
31,99-00,82,Alan Henderson,ATL,6-9,235,82,0,0.0,33.8
32,00-01,82,Alan Henderson,ATL,6-9,235,73,9,11.0,24.8
33,02-03,82,Alan Henderson,ATL,6-9,235,82,0,0.0,18.2
34,04-05,82,Alan Henderson,DAL,6-9,235,78,4,4.9,15.4
35,05-06,82,Alan Henderson,CLE,6-9,235,51,31,37.8,10.4
36,98-99,50,Allan Houston,NYK,6-6,200,50,0,0.0,36.3
37,99-00,82,Allan Houston,NYK,6-6,200,82,0,0.0,38.6
38,00-01,82,Allan Houston,NYK,6-6,200,78,4,4.9,36.6
39,01-02,82,Allan Houston,NYK,6-6,200,77,5,6.1,37.8
40,02-03,82,Allan Houston,NYK,6-6,200,82,0,0.0,37.9
41,03-04,82,Allan Houston,NYK,6-6,200,50,32,39.0,36.0
42,04-05,82,Allan Houston,NYK,6-6,200,20,62,75.6,26.6
43,98-99,50,Allen Iverson,PHI,6-0,165,48,2,4.0,41.5
44,99-00,82,Allen Iverson,PHI,6-0,165,70,12,14.6,40.8
45,00-01,82,Allen Iverson,PHI,6-0,165,71,11,13.4,42.0
47,02-03,82,Allen Iverson,PHI,6-0,165,82,0,0.0,42.5
48,03-04,82,Allen Iverson,PHI,6-0,165,48,34,41.5,42.5
51,06-07,82,Allen Iverson,DEN,6-0,165,65,17,20.7,42.5
52,07-08,82,Allen Iverson,DEN,6-0,165,82,0,0.0,41.8
53,08-09,82,Allen Iverson,DET,6-0,165,57,25,30.5,36.7
54,09-10,82,Allen Iverson,PHI,6-0,165,28,54,65.9,30.9
55,98-99,50,Alonzo Mourning,MIA,6-10,275,46,4,8.0,38.1
56,99-00,82,Alonzo Mourning,MIA,6-10,275,79,3,3.7,34.8
57,01-02,82,Alonzo Mourning,MIA,6-10,275,75,7,8.5,32.7
58,04-05,82,Alonzo Mourning,MIA,6-10,275,37,45,54.9,19.0
59,05-06,82,Alonzo Mourning,MIA,6-10,275,65,17,20.7,20.0
60,06-07,82,Alonzo Mourning,MIA,6-10,275,77,5,6.1,20.4
61,98-99,50,Alvin Williams,TOR,6-5,180,50,0,0.0,21.0
62,99-00,82,Alvin Williams,TOR,6-5,180,55,27,32.9,14.2
63,00-01,82,Alvin Williams,TOR,6-5,180,82,0,0.0,29.2
64,01-02,82,Alvin Williams,TOR,6-5,180,82,0,0.0,35.7
65,02-03,82,Alvin Williams,TOR,6-5,180,78,4,4.9,33.8
66,03-04,82,Alvin Williams,TOR,6-5,180,56,26,31.7,30.9
67,98-99,50,Andrew DeClercq,CLE,6-10,230,47,3,6.0,23.4
68,99-00,82,Andrew DeClercq,CLE,6-10,230,82,0,0.0,22.3
69,00-01,82,Andrew DeClercq,ORL,6-10,230,67,15,18.3,13.5
70,01-02,82,Andrew DeClercq,ORL,6-10,230,61,21,25.6,10.4
71,02-03,82,Andrew DeClercq,ORL,6-10,230,77,5,6.1,17.2
72,03-04,82,Andrew DeClercq,ORL,6-10,230,71,11,13.4,17.1
73,98-99,50,Andrew Lang,CHI,6-11,245,21,29,58.0,18.4
74,98-99,50,Antawn Jamison,GSW,6-8,223,47,3,6.0,22.5
75,99-00,82,Antawn Jamison,GSW,6-8,223,43,39,47.6,36.2
76,00-01,82,Antawn Jamison,GSW,6-8,223,82,0,0.0,41.4
77,01-02,82,Antawn Jamison,GSW,6-8,223,82,0,0.0,37.0
78,02-03,82,Antawn Jamison,GSW,6-8,223,82,0,0.0,39.3
79,03-04,82,Antawn Jamison,DAL,6-8,223,82,0,0.0,29.0
80,04-05,82,Antawn Jamison,WAS,6-8,223,68,14,17.1,38.3
81,05-06,82,Antawn Jamison,WAS,6-8,223,82,0,0.0,40.1
82,06-07,82,Antawn Jamison,WAS,6-8,223,70,12,14.6,38.0
83,07-08,82,Antawn Jamison,WAS,6-8,223,79,3,3.7,38.7
84,08-09,82,Antawn Jamison,WAS,6-8,223,81,1,1.2,38.2
85,09-10,82,Antawn Jamison,CLE,6-8,223,66,16,19.5,36.5
86,10-11,82,Antawn Jamison,CLE,6-8,223,56,26,31.7,32.9
87,11-12,66,Antawn Jamison,CLE,6-8,223,65,1,1.5,33.1
88,12-13,82,Antawn Jamison,LAL,6-8,223,76,6,7.3,21.5
89,98-99,50,Anthony Johnson,ATL,6-3,190,49,1,2.0,18.1
90,99-00,82,Anthony Johnson,ORL,6-3,190,56,26,31.7,11.4
91,00-01,82,Anthony Johnson,CLE,6-3,190,53,29,35.4,9.6
92,01-02,82,Anthony Johnson,NJN,6-3,190,34,48,58.5,10.8
93,02-03,82,Anthony Johnson,NJN,6-3,190,66,16,19.5,12.8
94,03-04,82,Anthony Johnson,IND,6-3,190,73,9,11.0,21.9
95,04-05,82,Anthony Johnson,IND,6-3,190,63,19,23.2,27.8
96,05-06,82,Anthony Johnson,IND,6-3,190,75,7,8.5,26.4
97,06-07,82,Anthony Johnson,ATL,6-3,190,67,15,18.3,19.4
98,07-08,82,Anthony Johnson,SAC,6-3,190,69,13,15.9,22.2
99,08-09,82,Anthony Johnson,ORL,6-3,190,80,2,2.4,18.5
100,98-99,50,Anthony Peeler,MIN,6-4,208,28,22,44.0,28.9
101,99-00,82,Anthony Peeler,MIN,6-4,208,82,0,0.0,25.3
102,00-01,82,Anthony Peeler,MIN,6-4,208,75,7,8.5,28.3
103,01-02,82,Anthony Peeler,MIN,6-4,208,82,0,0.0,25.1
104,02-03,82,Anthony Peeler,MIN,6-4,208,82,0,0.0,27.4
105,03-04,82,Anthony Peeler,SAC,6-4,208,75,7,8.5,18.6
106,04-05,82,Anthony Peeler,WAS,6-4,208,40,42,51.2,13.2
107,98-99,50,Antoine Walker,BOS,6-8,224,42,8,16.0,36.9
108,99-00,82,Antoine Walker,BOS,6-8,224,82,0,0.0,36.6
110,01-02,82,Antoine Walker,BOS,6-8,224,81,1,1.2,42.0
111,02-03,82,Antoine Walker,BOS,6-8,224,78,4,4.9,41.5
112,03-04,82,Antoine Walker,DAL,6-8,224,82,0,0.0,34.6
113,04-05,82,Antoine Walker,BOS,6-8,224,77,5,6.1,38.4
114,05-06,82,Antoine Walker,MIA,6-8,224,82,0,0.0,26.8
115,06-07,82,Antoine Walker,MIA,6-8,224,78,4,4.9,23.3
116,07-08,82,Antoine Walker,MIN,6-8,224,46,36,43.9,19.4
117,98-99,50,Antonio Daniels,SAS,6-4,195,47,3,6.0,13.1
118,99-00,82,Antonio Daniels,SAS,6-4,195,68,14,17.1,17.6
119,00-01,82,Antonio Daniels,SAS,6-4,195,79,3,3.7,26.1
120,01-02,82,Antonio Daniels,SAS,6-4,195,82,0,0.0,26.5
121,02-03,82,Antonio Daniels,POR,6-4,195,67,15,18.3,13.0
122,03-04,82,Antonio Daniels,SEA,6-4,195,71,11,13.4,21.3
123,04-05,82,Antonio Daniels,SEA,6-4,195,75,7,8.5,27.0
124,05-06,82,Antonio Daniels,WAS,6-4,195,79,3,3.7,28.9
125,06-07,82,Antonio Daniels,WAS,6-4,195,80,2,2.4,22.0
126,07-08,82,Antonio Daniels,WAS,6-4,195,71,11,13.4,30.4
127,08-09,82,Antonio Daniels,NOP,6-4,195,74,8,9.8,13.8
128,98-99,50,Antonio Davis,IND,6-9,215,49,1,2.0,25.9
129,99-00,82,Antonio Davis,TOR,6-9,215,79,3,3.7,31.4
130,00-01,82,Antonio Davis,TOR,6-9,215,78,4,4.9,35.0
131,01-02,82,Antonio Davis,TOR,6-9,215,77,5,6.1,38.7
132,02-03,82,Antonio Davis,TOR,6-9,215,53,29,35.4,35.7
133,03-04,82,Antonio Davis,CHI,6-9,215,80,2,2.4,32.1
134,04-05,82,Antonio Davis,CHI,6-9,215,72,10,12.2,25.6
135,05-06,82,Antonio Davis,TOR,6-9,215,44,38,46.3,21.4
136,98-99,50,Antonio McDyess,DEN,6-9,220,50,0,0.0,38.7
137,99-00,82,Antonio McDyess,DEN,6-9,220,81,1,1.2,33.3
138,00-01,82,Antonio McDyess,DEN,6-9,220,70,12,14.6,36.5
139,03-04,82,Antonio McDyess,PHX,6-9,220,42,40,48.8,22.1
140,04-05,82,Antonio McDyess,DET,6-9,220,77,5,6.1,23.3
141,05-06,82,Antonio McDyess,DET,6-9,220,82,0,0.0,21.1
142,06-07,82,Antonio McDyess,DET,6-9,220,82,0,0.0,21.1
143,07-08,82,Antonio McDyess,DET,6-9,220,78,4,4.9,29.3
144,08-09,82,Antonio McDyess,DET,6-9,220,62,20,24.4,30.1
145,09-10,82,Antonio McDyess,SAS,6-9,220,77,5,6.1,21.0
146,10-11,82,Antonio McDyess,SAS,6-9,220,73,9,11.0,19.0
147,98-99,50,Armen Gilliam,MIL,6-9,230,34,16,32.0,19.6
148,99-00,82,Armen Gilliam,UTA,6-9,230,50,32,39.0,15.6
149,98-99,50,Arvydas Sabonis,POR,7-3,279,50,0,0.0,27.0
150,99-00,82,Arvydas Sabonis,POR,7-3,279,66,16,19.5,25.5
151,00-01,82,Arvydas Sabonis,POR,7-3,279,61,21,25.6,21.3
152,02-03,82,Arvydas Sabonis,POR,7-3,279,78,4,4.9,15.5
153,98-99,50,Avery Johnson,SAS,5-10,175,50,0,0.0,33.4
154,99-00,82,Avery Johnson,SAS,5-10,175,82,0,0.0,31.4
155,00-01,82,Avery Johnson,SAS,5-10,175,55,27,32.9,23.5
156,01-02,82,Avery Johnson,DAL,5-10,175,68,14,17.1,19.9
157,03-04,82,Avery Johnson,GSW,5-10,175,46,36,43.9,13.9
158,98-99,50,B.J. Armstrong,ORL,6-2,175,32,18,36.0,11.2
159,99-00,82,B.J. Armstrong,CHI,6-2,175,27,55,67.1,21.6
160,98-99,50,Ben Wallace,WAS,6-9,240,46,4,8.0,26.8
161,99-00,82,Ben Wallace,ORL,6-9,240,81,1,1.2,24.2
162,00-01,82,Ben Wallace,DET,6-9,240,80,2,2.4,34.5
163,01-02,82,Ben Wallace,DET,6-9,240,80,2,2.4,36.5
164,02-03,82,Ben Wallace,DET,6-9,240,73,9,11.0,39.3
165,03-04,82,Ben Wallace,DET,6-9,240,81,1,1.2,37.6
166,04-05,82,Ben Wallace,DET,6-9,240,74,8,9.8,36.1
167,05-06,82,Ben Wallace,DET,6-9,240,82,0,0.0,35.2
168,06-07,82,Ben Wallace,CHI,6-9,240,77,5,6.1,35.0
169,07-08,82,Ben Wallace,CLE,6-9,240,72,10,12.2,30.6
170,08-09,82,Ben Wallace,CLE,6-9,240,56,26,31.7,23.5
171,09-10,82,Ben Wallace,DET,6-9,240,69,13,15.9,28.6
172,10-11,82,Ben Wallace,DET,6-9,240,54,28,34.1,22.9
173,11-12,66,Ben Wallace,DET,6-9,240,62,4,6.1,15.8
174,98-99,50,Bill Curley,MIN,6-9,220,35,15,30.0,10.6
175,98-99,50,Bill Wennington,CHI,7-0,245,38,12,24.0,11.9
176,98-99,50,Billy Owens,SEA,6-8,220,21,29,58.0,21.5
177,99-00,82,Billy Owens,GSW,6-8,220,62,20,24.4,21.0
178,00-01,82,Billy Owens,DET,6-8,220,45,37,45.1,17.6
179,98-99,50,Bimbo Coles,GSW,6-1,180,48,2,4.0,26.5
180,99-00,82,Bimbo Coles,ATL,6-1,180,80,2,2.4,24.1
181,00-01,82,Bimbo Coles,CLE,6-1,180,47,35,42.7,17.1
182,01-02,82,Bimbo Coles,CLE,6-1,180,47,35,42.7,14.7
183,02-03,82,Bimbo Coles,BOS,6-1,180,35,47,57.3,19.7
184,98-99,50,Bison Dele,DET,6-9,235,49,1,2.0,24.0
185,98-99,50,Bo Outlaw,ORL,6-8,210,31,19,38.0,27.5
186,99-00,82,Bo Outlaw,ORL,6-8,210,82,0,0.0,28.4
187,00-01,82,Bo Outlaw,ORL,6-8,210,80,2,2.4,31.7
188,01-02,82,Bo Outlaw,PHX,6-8,210,83,-1,-1.2,23.2
189,02-03,82,Bo Outlaw,PHX,6-8,210,80,2,2.4,22.5
190,03-04,82,Bo Outlaw,MEM,6-8,210,82,0,0.0,19.6
191,98-99,50,Bob Sura,CLE,6-5,200,50,0,0.0,16.8
192,99-00,82,Bob Sura,CLE,6-5,200,73,9,11.0,30.4
193,00-01,82,Bob Sura,GSW,6-5,200,53,29,35.4,31.8
194,01-02,82,Bob Sura,GSW,6-5,200,78,4,4.9,22.8
195,02-03,82,Bob Sura,GSW,6-5,200,55,27,32.9,20.5
196,03-04,82,Bob Sura,ATL,6-5,200,80,2,2.4,20.8
197,04-05,82,Bob Sura,HOU,6-5,200,61,21,25.6,31.5
198,98-99,50,Bobby Jackson,MIN,6-1,185,50,0,0.0,18.8
199,99-00,82,Bobby Jackson,MIN,6-1,185,73,9,11.0,14.2
200,00-01,82,Bobby Jackson,SAC,6-1,185,79,3,3.7,20.9
201,01-02,82,Bobby Jackson,SAC,6-1,185,81,1,1.2,21.6
202,02-03,82,Bobby Jackson,SAC,6-1,185,59,23,28.0,28.4
203,03-04,82,Bobby Jackson,SAC,6-1,185,50,32,39.0,23.7
204,04-05,82,Bobby Jackson,SAC,6-1,185,25,57,69.5,21.4
205,05-06,82,Bobby Jackson,MEM,6-1,185,71,11,13.4,25.0
206,06-07,82,Bobby Jackson,NOP,6-1,185,56,26,31.7,23.7
