player,year_min,height,weight
Alaa Abdelnaby,1991,6-10,240
Zaid Abdul-Aziz,1969,6-9,235
Kareem Abdul-Jabbar,1970,7-2,225
Mahmoud Abdul-Rauf,1991,6-1,162
Tariq Abdul-Wahad,1998,6-6,223
Shareef Abdur-Rahim,1997,6-9,225
Tom Abernethy,1977,6-7,220
Forest Able,1957,6-3,180
John Abramovic,1947,6-3,195
Alex Abrines,2017,6-6,200
Alex Acker,2006,6-5,185
Don Ackerman,1954,6-0,183
Mark Acres,1988,6-11,220
Bud Acton,1968,6-6,210
Quincy Acy,2013,6-7,240
Alvan Adams,1976,6-9,210
Don Adams,1971,6-6,210
George Adams,1973,6-5,210
Hassan Adams,2007,6-4,220
Jaylen Adams,2019,6-2,190
Jordan Adams,2015,6-5,209
Michael Adams,1986,5-10,162
Steven Adams,2014,7-0,265
Rafael Addison,1987,6-7,215
Bam Adebayo,2018,6-10,255
Deng Adel,2019,6-7,200
Rick Adelman,1969,6-1,175
Jeff Adrien,2011,6-7,245
Arron Afflalo,2008,6-5,210
Maurice Ager,2007,6-5,202
Mark Aguirre,1982,6-6,232
Blake Ahearn,2008,6-2,190
Danny Ainge,1982,6-4,175
Matthew Aitch,1968,6-7,230
Alexis Ajinca,2009,7-2,248
Henry Akin,1967,6-10,225
Josh Akognon,2013,5-11,185
DeVaughn Akoon-Purcell,2019,6-6,200
Solomon Alabi,2011,7-1,251
Mark Alarie,1987,6-8,217
Gary Alcorn,1960,6-9,225
Furkan Aldemir,2015,6-10,240
Cole Aldrich,2011,6-11,250
LaMarcus Aldridge,2007,6-11,260
Chuck Aleksinas,1985,6-11,260
Cliff Alexander,2016,6-8,245
Cory Alexander,1996,6-1,185
Courtney Alexander,2001,6-5,205
Gary Alexander,1994,6-7,240
Joe Alexander,2009,6-8,230
Victor Alexander,1992,6-9,265
Steve Alford,1988,6-2,183
Rawle Alkins,2019,6-5,225
Bill Allen,1968,6-8,205
Bob Allen,1969,6-9,205
Grayson Allen,2019,6-5,198
Jarrett Allen,2018,6-11,237
Jerome Allen,1996,6-4,184
Kadeem Allen,2018,6-3,192
Lavoy Allen,2012,6-9,260
Lucius Allen,1970,6-2,175
Malik Allen,2002,6-10,255
Randy Allen,1989,6-8,220
Ray Allen,1997,6-5,205
Tony Allen,2005,6-4,213
Willie Allen,1972,6-6,230
Odis Allison,1972,6-6,195
Lance Allred,2008,6-11,250
Darrell Allums,1981,6-9,220
Morris Almond,2008,6-6,225
Derrick Alston,1995,6-11,225
Rafer Alston,2000,6-2,171
Peter Aluma,1999,6-10,260
John Amaechi,1996,6-10,270
Ashraf Amaya,1996,6-8,230
Al-Farouq Aminu,2011,6-9,220
Lou Amundson,2007,6-9,220
Bob Anderegg,1960,6-3,200
Chris Andersen,2002,6-10,245
David Andersen,2010,6-11,245
Alan Anderson,2006,6-6,220
Andrew Anderson,1968,6-2,184
Antonio Anderson,2010,6-6,215
Cliff Anderson,1968,6-2,200
Dan Anderson,1968,6-10,230
Dan Anderson,1975,6-2,185
Derek Anderson,1998,6-5,194
Dwight Anderson,1983,6-3,185
Eric Anderson,1993,6-9,220
Greg Anderson,1988,6-10,230
J.J. Anderson,1983,6-8,195
James Anderson,2011,6-6,213
Jerome Anderson,1976,6-5,195
Justin Anderson,2016,6-6,230
Kenny Anderson,1992,6-0,168
Kim Anderson,1979,6-7,200
Kyle Anderson,2015,6-9,230
Michael Anderson,1989,5-11,184
Nick Anderson,1990,6-6,205
Richard Anderson,1983,6-10,240
Ron Anderson,1985,6-7,215
Ryan Anderson,2009,6-10,240
Shandon Anderson,1997,6-6,208
Willie Anderson,1989,6-7,190
Wally Anderzunas,1970,6-7,220
Martynas Andriuskevicius,2006,7-2,240
Don Anielak,1955,6-7,190
Ike Anigbogu,2018,6-10,250
Michael Ansley,1990,6-7,225
Chris Anstey,1998,7-0,249
