,season,player,team,games_played,minutes_per_game,Number of Games,percentage of games missed,height,weight,player_salary,number of games missed
0,00-01,A.C. Green,MIA,82,17.2,82,0.0,6-9,220,2,0
1,00-01,Aaron McKie,PHI,76,31.5,82,7.3,6-5,209,1,6
2,01-02,Aaron McKie,PHI,48,30.6,82,41.5,6-5,209,4,34
3,02-03,Aaron McKie,PHI,80,29.7,82,2.4,6-5,209,4,2
4,03-04,Aaron McKie,PHI,75,28.1,82,8.5,6-5,209,5,7
5,04-05,Aaron McKie,PHI,68,16.4,82,17.1,6-5,209,5,14
6,00-01,Aaron Williams,BRK,82,28.5,82,0.0,6-9,200,2,0
7,01-02,Aaron Williams,BRK,82,18.9,82,0.0,6-9,200,2,0
8,02-03,Aaron Williams,BRK,81,19.7,82,1.2,6-9,200,2,1
9,03-04,Aaron Williams,BRK,72,18.6,82,12.2,6-9,200,2,10
10,05-06,Aaron Williams,NOP,47,16.8,82,42.7,6-9,200,3,35
11,00-01,Adam Keefe,GSW,67,12.5,82,18.3,6-4,185,3,15
12,00-01,Adonal Foyle,GSW,58,25.1,82,29.3,6-10,250,3,24
13,01-02,Adonal Foyle,GSW,79,18.8,82,3.7,6-10,250,4,3
14,02-03,Adonal Foyle,GSW,82,21.8,82,0.0,6-10,250,4,0
15,03-04,Adonal Foyle,GSW,44,13.0,82,46.3,6-10,250,4,38
16,04-05,Adonal Foyle,GSW,78,21.8,82,4.9,6-10,250,6,4
17,05-06,Adonal Foyle,GSW,77,23.7,82,6.1,6-10,250,7,5
18,06-07,Adonal Foyle,GSW,48,9.9,82,41.5,6-10,250,8,34
19,07-08,Adonal Foyle,ORL,82,9.4,82,0.0,6-10,250,10,0
20,00-01,Alan Henderson,ATL,73,24.8,82,11.0,6-9,235,5,9
21,02-03,Alan Henderson,ATL,82,18.2,82,0.0,6-9,235,7,0
22,04-05,Alan Henderson,DAL,78,15.4,82,4.9,6-9,235,8,4
23,05-06,Alan Henderson,CLE,51,10.4,82,37.8,6-9,235,1,31
24,00-01,Allan Houston,NYK,78,36.6,82,4.9,6-6,200,9,4
25,01-02,Allan Houston,NYK,77,37.8,82,6.1,6-6,200,12,5
26,02-03,Allan Houston,NYK,82,37.9,82,0.0,6-6,200,14,0
27,03-04,Allan Houston,NYK,50,36.0,82,39.0,6-6,200,15,32
28,04-05,Allan Houston,NYK,20,26.6,82,75.6,6-6,200,17,62
29,00-01,Allen Iverson,PHI,71,42.0,82,13.4,6-0,165,10,11
30,01-02,Allen Iverson,PHI,60,43.7,82,26.8,6-0,165,11,22
31,02-03,Allen Iverson,PHI,82,42.5,82,0.0,6-0,165,12,0
32,03-04,Allen Iverson,PHI,48,42.5,82,41.5,6-0,165,13,34
33,04-05,Allen Iverson,PHI,75,42.3,82,8.5,6-0,165,14,7
34,05-06,Allen Iverson,PHI,72,43.1,82,12.2,6-0,165,16,10
35,06-07,Allen Iverson,DEN,65,42.5,82,20.7,6-0,165,17,17
36,07-08,Allen Iverson,DEN,82,41.8,82,0.0,6-0,165,19,0
37,08-09,Allen Iverson,DET,57,36.7,82,30.5,6-0,165,20,25
38,09-10,Allen Iverson,PHI,28,30.9,82,65.9,6-0,165,1,54
39,01-02,Alonzo Mourning,MIA,75,32.7,82,8.5,6-10,275,18,7
40,04-05,Alonzo Mourning,MIA,37,19.0,82,54.9,6-10,275,5,45
41,05-06,Alonzo Mourning,MIA,65,20.0,82,20.7,6-10,275,5,17
42,06-07,Alonzo Mourning,MIA,77,20.4,82,6.1,6-10,275,6,5
43,00-01,Alvin Williams,TOR,82,29.2,82,0.0,6-5,180,2,0
44,01-02,Alvin Williams,TOR,82,35.7,82,0.0,6-5,180,5,0
45,02-03,Alvin Williams,TOR,78,33.8,82,4.9,6-5,180,5,4
46,03-04,Alvin Williams,TOR,56,30.9,82,31.7,6-5,180,5,26
47,00-01,Andrew DeClercq,ORL,67,13.5,82,18.3,6-10,230,1,15
48,01-02,Andrew DeClercq,ORL,61,10.4,82,25.6,6-10,230,2,21
49,02-03,Andrew DeClercq,ORL,77,17.2,82,6.1,6-10,230,3,5
50,03-04,Andrew DeClercq,ORL,71,17.1,82,13.4,6-10,230,2,11
51,00-01,Antawn Jamison,GSW,82,41.4,82,0.0,6-8,223,2,0
52,01-02,Antawn Jamison,GSW,82,37.0,82,0.0,6-8,223,3,0
53,02-03,Antawn Jamison,GSW,82,39.3,82,0.0,6-8,223,10,0
54,03-04,Antawn Jamison,DAL,82,29.0,82,0.0,6-8,223,11,0
55,04-05,Antawn Jamison,WAS,68,38.3,82,17.1,6-8,223,12,14
56,05-06,Antawn Jamison,WAS,82,40.1,82,0.0,6-8,223,13,0
57,06-07,Antawn Jamison,WAS,70,38.0,82,14.6,6-8,223,15,12
58,07-08,Antawn Jamison,WAS,79,38.7,82,3.7,6-8,223,16,3
59,08-09,Antawn Jamison,WAS,81,38.2,82,1.2,6-8,223,9,1
60,09-10,Antawn Jamison,CLE,66,36.5,82,19.5,6-8,223,11,16
61,10-11,Antawn Jamison,CLE,56,32.9,82,31.7,6-8,223,13,26
62,11-12,Antawn Jamison,CLE,65,33.1,66,1.5,6-8,223,15,1
63,12-13,Antawn Jamison,LAL,76,21.5,82,7.3,6-8,223,1,6
64,00-01,Anthony Johnson,CLE,53,9.6,82,35.4,6-3,190,1,29
65,02-03,Anthony Johnson,BRK,66,12.8,82,19.5,6-3,190,0,16
66,03-04,Anthony Johnson,IND,73,21.9,82,11.0,6-3,190,0,9
67,04-05,Anthony Johnson,IND,63,27.8,82,23.2,6-3,190,2,19
68,05-06,Anthony Johnson,IND,75,26.4,82,8.5,6-3,190,2,7
69,06-07,Anthony Johnson,ATL,67,19.4,82,18.3,6-3,190,2,15
70,07-08,Anthony Johnson,SAC,69,22.2,82,15.9,6-3,190,2,13
71,08-09,Anthony Johnson,ORL,80,18.5,82,2.4,6-3,190,1,2
72,00-01,Anthony Peeler,MIN,75,28.3,82,8.5,6-4,208,2,7
73,01-02,Anthony Peeler,MIN,82,25.1,82,0.0,6-4,208,2,0
