season,player,team,games_played,minutes_per_game,Number of Games,percentage of games missed,height,weight
98-99,A.C. Green,DAL,50,18.5,50,0.0,6-9,220
99-00,A.C. Green,LAL,82,23.5,82,0.0,6-9,220
00-01,A.C. Green,MIA,82,17.2,82,0.0,6-9,220
98-99,Aaron McKie,PHI,50,19.2,50,0.0,6-5,209
99-00,Aaron McKie,PHI,82,23.8,82,0.0,6-5,209
00-01,Aaron McKie,PHI,76,31.5,82,7.3,6-5,209
01-02,Aaron McKie,PHI,48,30.6,82,41.5,6-5,209
02-03,Aaron McKie,PHI,80,29.7,82,2.4,6-5,209
03-04,Aaron McKie,PHI,75,28.1,82,8.5,6-5,209
04-05,Aaron McKie,PHI,68,16.4,82,17.1,6-5,209
98-99,Aaron Williams,SEA,40,11.4,50,20.0,6-9,200
99-00,Aaron Williams,WAS,81,19.1,82,1.2,6-9,200
00-01,Aaron Williams,NJN,82,28.5,82,0.0,6-9,200
01-02,Aaron Williams,NJN,82,18.9,82,0.0,6-9,200
02-03,Aaron Williams,NJN,81,19.7,82,1.2,6-9,200
03-04,Aaron Williams,NJN,72,18.6,82,12.2,6-9,200
05-06,Aaron Williams,NOP,47,16.8,82,42.7,6-9,200
98-99,Adam Keefe,UTA,44,14.6,50,12.0,6-4,185
99-00,Adam Keefe,UTA,62,9.7,82,24.4,6-4,185
00-01,Adam Keefe,GSW,67,12.5,82,18.3,6-4,185
98-99,Adonal Foyle,GSW,44,14.0,50,12.0,6-10,250
99-00,Adonal Foyle,GSW,76,21.7,82,7.3,6-10,250
00-01,Adonal Foyle,GSW,58,25.1,82,29.3,6-10,250
01-02,Adonal Foyle,GSW,79,18.8,82,3.7,6-10,250
02-03,Adonal Foyle,GSW,82,21.8,82,0.0,6-10,250
03-04,Adonal Foyle,GSW,44,13.0,82,46.3,6-10,250
04-05,Adonal Foyle,GSW,78,21.8,82,4.9,6-10,250
05-06,Adonal Foyle,GSW,77,23.7,82,6.1,6-10,250
06-07,Adonal Foyle,GSW,48,9.9,82,41.5,6-10,250
07-08,Adonal Foyle,ORL,82,9.4,82,0.0,6-10,250
98-99,Alan Henderson,ATL,38,30.1,50,24.0,6-9,235
99-00,Alan Henderson,ATL,82,33.8,82,0.0,6-9,235
00-01,Alan Henderson,ATL,73,24.8,82,11.0,6-9,235
02-03,Alan Henderson,ATL,82,18.2,82,0.0,6-9,235
04-05,Alan Henderson,DAL,78,15.4,82,4.9,6-9,235
05-06,Alan Henderson,CLE,51,10.4,82,37.8,6-9,235
98-99,Allan Houston,NYK,50,36.3,50,0.0,6-6,200
99-00,Allan Houston,NYK,82,38.6,82,0.0,6-6,200
00-01,Allan Houston,NYK,78,36.6,82,4.9,6-6,200
01-02,Allan Houston,NYK,77,37.8,82,6.1,6-6,200
02-03,Allan Houston,NYK,82,37.9,82,0.0,6-6,200
03-04,Allan Houston,NYK,50,36.0,82,39.0,6-6,200
04-05,Allan Houston,NYK,20,26.6,82,75.6,6-6,200
98-99,Allen Iverson,PHI,48,41.5,50,4.0,6-0,165
99-00,Allen Iverson,PHI,70,40.8,82,14.6,6-0,165
00-01,Allen Iverson,PHI,71,42.0,82,13.4,6-0,165
01-02,Allen Iverson,PHI,60,43.7,82,26.8,6-0,165
02-03,Allen Iverson,PHI,82,42.5,82,0.0,6-0,165
03-04,Allen Iverson,PHI,48,42.5,82,41.5,6-0,165
04-05,Allen Iverson,PHI,75,42.3,82,8.5,6-0,165
05-06,Allen Iverson,PHI,72,43.1,82,12.2,6-0,165
06-07,Allen Iverson,DEN,65,42.5,82,20.7,6-0,165
07-08,Allen Iverson,DEN,82,41.8,82,0.0,6-0,165
08-09,Allen Iverson,DET,57,36.7,82,30.5,6-0,165
09-10,Allen Iverson,PHI,28,30.9,82,65.9,6-0,165
98-99,Alonzo Mourning,MIA,46,38.1,50,8.0,6-10,275
99-00,Alonzo Mourning,MIA,79,34.8,82,3.7,6-10,275
01-02,Alonzo Mourning,MIA,75,32.7,82,8.5,6-10,275
04-05,Alonzo Mourning,MIA,37,19.0,82,54.9,6-10,275
05-06,Alonzo Mourning,MIA,65,20.0,82,20.7,6-10,275
06-07,Alonzo Mourning,MIA,77,20.4,82,6.1,6-10,275
98-99,Alvin Williams,TOR,50,21.0,50,0.0,6-5,180
99-00,Alvin Williams,TOR,55,14.2,82,32.9,6-5,180
00-01,Alvin Williams,TOR,82,29.2,82,0.0,6-5,180
01-02,Alvin Williams,TOR,82,35.7,82,0.0,6-5,180
02-03,Alvin Williams,TOR,78,33.8,82,4.9,6-5,180
03-04,Alvin Williams,TOR,56,30.9,82,31.7,6-5,180
98-99,Andrew DeClercq,CLE,47,23.4,50,6.0,6-10,230
99-00,Andrew DeClercq,CLE,82,22.3,82,0.0,6-10,230
00-01,Andrew DeClercq,ORL,67,13.5,82,18.3,6-10,230
01-02,Andrew DeClercq,ORL,61,10.4,82,25.6,6-10,230
02-03,Andrew DeClercq,ORL,77,17.2,82,6.1,6-10,230
03-04,Andrew DeClercq,ORL,71,17.1,82,13.4,6-10,230
98-99,Andrew Lang,CHI,21,18.4,50,58.0,6-11,245
98-99,Antawn Jamison,GSW,47,22.5,50,6.0,6-8,223
99-00,Antawn Jamison,GSW,43,36.2,82,47.6,6-8,223
00-01,Antawn Jamison,GSW,82,41.4,82,0.0,6-8,223
01-02,Antawn Jamison,GSW,82,37.0,82,0.0,6-8,223
02-03,Antawn Jamison,GSW,82,39.3,82,0.0,6-8,223
03-04,Antawn Jamison,DAL,82,29.0,82,0.0,6-8,223
04-05,Antawn Jamison,WAS,68,38.3,82,17.1,6-8,223
05-06,Antawn Jamison,WAS,82,40.1,82,0.0,6-8,223
06-07,Antawn Jamison,WAS,70,38.0,82,14.6,6-8,223
07-08,Antawn Jamison,WAS,79,38.7,82,3.7,6-8,223
08-09,Antawn Jamison,WAS,81,38.2,82,1.2,6-8,223
09-10,Antawn Jamison,CLE,66,36.5,82,19.5,6-8,223
10-11,Antawn Jamison,CLE,56,32.9,82,31.7,6-8,223
11-12,Antawn Jamison,CLE,65,33.1,66,1.5,6-8,223
12-13,Antawn Jamison,LAL,76,21.5,82,7.3,6-8,223
98-99,Anthony Johnson,ATL,49,18.1,50,2.0,6-3,190
99-00,Anthony Johnson,ORL,56,11.4,82,31.7,6-3,190
00-01,Anthony Johnson,CLE,53,9.6,82,35.4,6-3,190
01-02,Anthony Johnson,NJN,34,10.8,82,58.5,6-3,190
02-03,Anthony Johnson,NJN,66,12.8,82,19.5,6-3,190
03-04,Anthony Johnson,IND,73,21.9,82,11.0,6-3,190
04-05,Anthony Johnson,IND,63,27.8,82,23.2,6-3,190
05-06,Anthony Johnson,IND,75,26.4,82,8.5,6-3,190
06-07,Anthony Johnson,ATL,67,19.4,82,18.3,6-3,190
07-08,Anthony Johnson,SAC,69,22.2,82,15.9,6-3,190
08-09,Anthony Johnson,ORL,80,18.5,82,2.4,6-3,190
98-99,Anthony Peeler,MIN,28,28.9,50,44.0,6-4,208
99-00,Anthony Peeler,MIN,82,25.3,82,0.0,6-4,208
00-01,Anthony Peeler,MIN,75,28.3,82,8.5,6-4,208
01-02,Anthony Peeler,MIN,82,25.1,82,0.0,6-4,208
02-03,Anthony Peeler,MIN,82,27.4,82,0.0,6-4,208
03-04,Anthony Peeler,SAC,75,18.6,82,8.5,6-4,208
04-05,Anthony Peeler,WAS,40,13.2,82,51.2,6-4,208
98-99,Antoine Walker,BOS,42,36.9,50,16.0,6-8,224
99-00,Antoine Walker,BOS,82,36.6,82,0.0,6-8,224
00-01,Antoine Walker,BOS,81,41.9,82,1.2,6-8,224
01-02,Antoine Walker,BOS,81,42.0,82,1.2,6-8,224
02-03,Antoine Walker,BOS,78,41.5,82,4.9,6-8,224
03-04,Antoine Walker,DAL,82,34.6,82,0.0,6-8,224
04-05,Antoine Walker,BOS,77,38.4,82,6.1,6-8,224
05-06,Antoine Walker,MIA,82,26.8,82,0.0,6-8,224
06-07,Antoine Walker,MIA,78,23.3,82,4.9,6-8,224
07-08,Antoine Walker,MIN,46,19.4,82,43.9,6-8,224
98-99,Antonio Daniels,SAS,47,13.1,50,6.0,6-4,195
99-00,Antonio Daniels,SAS,68,17.6,82,17.1,6-4,195
00-01,Antonio Daniels,SAS,79,26.1,82,3.7,6-4,195
01-02,Antonio Daniels,SAS,82,26.5,82,0.0,6-4,195
02-03,Antonio Daniels,POR,67,13.0,82,18.3,6-4,195
03-04,Antonio Daniels,SEA,71,21.3,82,13.4,6-4,195
04-05,Antonio Daniels,SEA,75,27.0,82,8.5,6-4,195
05-06,Antonio Daniels,WAS,79,28.9,82,3.7,6-4,195
06-07,Antonio Daniels,WAS,80,22.0,82,2.4,6-4,195
07-08,Antonio Daniels,WAS,71,30.4,82,13.4,6-4,195
08-09,Antonio Daniels,NOP,74,13.8,82,9.8,6-4,195
98-99,Antonio Davis,IND,49,25.9,50,2.0,6-9,215
99-00,Antonio Davis,TOR,79,31.4,82,3.7,6-9,215
00-01,Antonio Davis,TOR,78,35.0,82,4.9,6-9,215
01-02,Antonio Davis,TOR,77,38.7,82,6.1,6-9,215
02-03,Antonio Davis,TOR,53,35.7,82,35.4,6-9,215
03-04,Antonio Davis,CHI,80,32.1,82,2.4,6-9,215
04-05,Antonio Davis,CHI,72,25.6,82,12.2,6-9,215
05-06,Antonio Davis,TOR,44,21.4,82,46.3,6-9,215
98-99,Antonio McDyess,DEN,50,38.7,50,0.0,6-9,220
99-00,Antonio McDyess,DEN,81,33.3,82,1.2,6-9,220
00-01,Antonio McDyess,DEN,70,36.5,82,14.6,6-9,220
03-04,Antonio McDyess,PHX,42,22.1,82,48.8,6-9,220
04-05,Antonio McDyess,DET,77,23.3,82,6.1,6-9,220
05-06,Antonio McDyess,DET,82,21.1,82,0.0,6-9,220
06-07,Antonio McDyess,DET,82,21.1,82,0.0,6-9,220
07-08,Antonio McDyess,DET,78,29.3,82,4.9,6-9,220
08-09,Antonio McDyess,DET,62,30.1,82,24.4,6-9,220
09-10,Antonio McDyess,SAS,77,21.0,82,6.1,6-9,220
10-11,Antonio McDyess,SAS,73,19.0,82,11.0,6-9,220
98-99,Armen Gilliam,MIL,34,19.6,50,32.0,6-9,230
99-00,Armen Gilliam,UTA,50,15.6,82,39.0,6-9,230
98-99,Arvydas Sabonis,POR,50,27.0,50,0.0,7-3,279
99-00,Arvydas Sabonis,POR,66,25.5,82,19.5,7-3,279
00-01,Arvydas Sabonis,POR,61,21.3,82,25.6,7-3,279
02-03,Arvydas Sabonis,POR,78,15.5,82,4.9,7-3,279
98-99,Avery Johnson,SAS,50,33.4,50,0.0,5-10,175
99-00,Avery Johnson,SAS,82,31.4,82,0.0,5-10,175
00-01,Avery Johnson,SAS,55,23.5,82,32.9,5-10,175
01-02,Avery Johnson,DAL,68,19.9,82,17.1,5-10,175
03-04,Avery Johnson,GSW,46,13.9,82,43.9,5-10,175
98-99,B.J. Armstrong,ORL,32,11.2,50,36.0,6-2,175
99-00,B.J. Armstrong,CHI,27,21.6,82,67.1,6-2,175
98-99,Ben Wallace,WAS,46,26.8,50,8.0,6-9,240
99-00,Ben Wallace,ORL,81,24.2,82,1.2,6-9,240
00-01,Ben Wallace,DET,80,34.5,82,2.4,6-9,240
01-02,Ben Wallace,DET,80,36.5,82,2.4,6-9,240
02-03,Ben Wallace,DET,73,39.3,82,11.0,6-9,240
03-04,Ben Wallace,DET,81,37.6,82,1.2,6-9,240
04-05,Ben Wallace,DET,74,36.1,82,9.8,6-9,240
05-06,Ben Wallace,DET,82,35.2,82,0.0,6-9,240
06-07,Ben Wallace,CHI,77,35.0,82,6.1,6-9,240
07-08,Ben Wallace,CLE,72,30.6,82,12.2,6-9,240
08-09,Ben Wallace,CLE,56,23.5,82,31.7,6-9,240
09-10,Ben Wallace,DET,69,28.6,82,15.9,6-9,240
10-11,Ben Wallace,DET,54,22.9,82,34.1,6-9,240
11-12,Ben Wallace,DET,62,15.8,66,6.1,6-9,240
98-99,Bill Curley,MIN,35,10.6,50,30.0,6-9,220
98-99,Bill Wennington,CHI,38,11.9,50,24.0,7-0,245
98-99,Billy Owens,SEA,21,21.5,50,58.0,6-8,220
99-00,Billy Owens,GSW,62,21.0,82,24.4,6-8,220
00-01,Billy Owens,DET,45,17.6,82,45.1,6-8,220
98-99,Bimbo Coles,GSW,48,26.5,50,4.0,6-1,180
99-00,Bimbo Coles,ATL,80,24.1,82,2.4,6-1,180
00-01,Bimbo Coles,CLE,47,17.1,82,42.7,6-1,180
01-02,Bimbo Coles,CLE,47,14.7,82,42.7,6-1,180
02-03,Bimbo Coles,BOS,35,19.7,82,57.3,6-1,180
98-99,Bison Dele,DET,49,24.0,50,2.0,6-9,235
98-99,Bo Outlaw,ORL,31,27.5,50,38.0,6-8,210
99-00,Bo Outlaw,ORL,82,28.4,82,0.0,6-8,210
00-01,Bo Outlaw,ORL,80,31.7,82,2.4,6-8,210
01-02,Bo Outlaw,PHX,83,23.2,82,-1.2,6-8,210
02-03,Bo Outlaw,PHX,80,22.5,82,2.4,6-8,210
03-04,Bo Outlaw,MEM,82,19.6,82,0.0,6-8,210
98-99,Bob Sura,CLE,50,16.8,50,0.0,6-5,200
99-00,Bob Sura,CLE,73,30.4,82,11.0,6-5,200
00-01,Bob Sura,GSW,53,31.8,82,35.4,6-5,200
01-02,Bob Sura,GSW,78,22.8,82,4.9,6-5,200
02-03,Bob Sura,GSW,55,20.5,82,32.9,6-5,200
03-04,Bob Sura,ATL,80,20.8,82,2.4,6-5,200
04-05,Bob Sura,HOU,61,31.5,82,25.6,6-5,200
98-99,Bobby Jackson,MIN,50,18.8,50,0.0,6-1,185
99-00,Bobby Jackson,MIN,73,14.2,82,11.0,6-1,185
00-01,Bobby Jackson,SAC,79,20.9,82,3.7,6-1,185
01-02,Bobby Jackson,SAC,81,21.6,82,1.2,6-1,185
02-03,Bobby Jackson,SAC,59,28.4,82,28.0,6-1,185
03-04,Bobby Jackson,SAC,50,23.7,82,39.0,6-1,185
04-05,Bobby Jackson,SAC,25,21.4,82,69.5,6-1,185
05-06,Bobby Jackson,MEM,71,25.0,82,13.4,6-1,185
06-07,Bobby Jackson,NOP,56,23.7,82,31.7,6-1,185
07-08,Bobby Jackson,HOU,72,19.3,82,12.2,6-1,185
08-09,Bobby Jackson,SAC,71,20.9,82,13.4,6-1,185
98-99,Bobby Phills,CHA,43,36.6,50,14.0,6-5,210
99-00,Bobby Phills,CHA,28,29.5,82,65.9,6-5,210
98-99,Brad Miller,CHA,38,12.3,50,24.0,6-11,244
99-00,Brad Miller,CHA,55,17.5,82,32.9,6-11,244
00-01,Brad Miller,CHI,57,25.2,82,30.5,6-11,244
01-02,Brad Miller,IND,76,29.8,82,7.3,6-11,244
02-03,Brad Miller,IND,73,31.1,82,11.0,6-11,244
03-04,Brad Miller,SAC,72,36.4,82,12.2,6-11,244
04-05,Brad Miller,SAC,56,37.4,82,31.7,6-11,244
05-06,Brad Miller,SAC,79,37.0,82,3.7,6-11,244
06-07,Brad Miller,SAC,63,28.3,82,23.2,6-11,244
07-08,Brad Miller,SAC,72,34.9,82,12.2,6-11,244
08-09,Brad Miller,CHI,70,30.0,82,14.6,6-11,244
09-10,Brad Miller,CHI,82,23.8,82,0.0,6-11,244
10-11,Brad Miller,HOU,60,16.9,82,26.8,6-11,244
98-99,Brent Barry,CHI,37,31.9,50,26.0,6-6,185
99-00,Brent Barry,SEA,80,34.1,82,2.4,6-6,185
00-01,Brent Barry,SEA,67,26.5,82,18.3,6-6,185
01-02,Brent Barry,SEA,81,37.5,82,1.2,6-6,185
02-03,Brent Barry,SEA,75,33.1,82,8.5,6-6,185
03-04,Brent Barry,SEA,59,30.6,82,28.0,6-6,185
04-05,Brent Barry,SAS,81,21.5,82,1.2,6-6,185
05-06,Brent Barry,SAS,74,17.0,82,9.8,6-6,185
06-07,Brent Barry,SAS,75,21.7,82,8.5,6-6,185
07-08,Brent Barry,SAS,31,17.9,82,62.2,6-6,185
08-09,Brent Barry,HOU,56,15.3,82,31.7,6-6,185
98-99,Brent Price,HOU,40,20.1,50,20.0,6-1,165
98-99,Brevin Knight,CLE,39,30.4,50,22.0,6-1,175
99-00,Brevin Knight,CLE,65,27.0,82,20.7,6-1,175
00-01,Brevin Knight,ATL,53,27.5,82,35.4,6-1,175
01-02,Brevin Knight,MEM,53,21.7,82,35.4,6-1,175
02-03,Brevin Knight,MEM,55,16.9,82,32.9,6-1,175
03-04,Brevin Knight,MIL,56,18.6,82,31.7,6-1,175
04-05,Brevin Knight,CHA,66,29.4,82,19.5,6-1,175
05-06,Brevin Knight,CHA,69,34.1,82,15.9,6-1,175
06-07,Brevin Knight,CHA,45,28.3,82,45.1,6-1,175
07-08,Brevin Knight,LAC,74,22.6,82,9.8,6-1,175
08-09,Brevin Knight,UTA,74,12.7,82,9.8,6-1,175
98-99,Brian Grant,POR,48,31.8,50,4.0,6-9,254
99-00,Brian Grant,POR,63,21.0,82,23.2,6-9,254
00-01,Brian Grant,MIA,82,33.8,82,0.0,6-9,254
01-02,Brian Grant,MIA,72,31.3,82,12.2,6-9,254
02-03,Brian Grant,MIA,82,32.2,82,0.0,6-9,254
03-04,Brian Grant,MIA,76,30.3,82,7.3,6-9,254
04-05,Brian Grant,LAL,69,16.5,82,15.9,6-9,254
