season,player,team,games_played,minutes_per_game
2008-2009,Luc Mbah a Moute,MIL,82,25.8
2008-2009,Rashad McCants,SAC,58,19.0
2008-2009,Antonio McDyess,DET,62,30.1
2008-2009,JaVale McGee,WAS,75,15.2
2008-2009,Tracy McGrady,HOU,35,33.8
2008-2009,Dominic McGuire,WAS,79,26.2
2008-2009,C.J. Miles,UTA,72,22.5
2008-2009,Darko Milicic,MEM,61,17.0
2008-2009,Andre Miller,PHI,82,36.3
2008-2009,Brad Miller,CHI,70,30.0
2008-2009,Mike Miller,MIN,73,32.3
2008-2009,Paul Millsap,UTA,76,30.1
2008-2009,Yao Ming,HOU,77,33.6
2008-2009,Jamario Moon,MIA,80,25.9
2008-2009,Mikki Moore,BOS,70,17.2
2008-2009,Adam Morrison,LAL,52,13.7
2008-2009,Anthony Morrow,GSW,67,22.6
2008-2009,Troy Murphy,IND,73,34.0
2008-2009,Flip Murray,ATL,80,24.7
2008-2009,Steve Nash,PHX,74,33.6
2008-2009,Jameer Nelson,ORL,42,31.2
2008-2009,Maybyner Nene,DEN,77,32.6
2008-2009,Rasho Nesterovic,IND,70,17.3
2008-2009,Joakim Noah,CHI,80,24.2
2008-2009,Andres Nocioni,SAC,76,26.2
2008-2009,Steve Novak,LAC,71,16.4
2008-2009,Dirk Nowitzki,DAL,81,37.7
2008-2009,Jermaine O'Neal,MIA,68,29.8
2008-2009,Shaquille O'Neal,PHX,75,30.0
2008-2009,Fabricio Oberto,SAS,54,12.5
2008-2009,Greg Oden,POR,61,21.5
2008-2009,Lamar Odom,LAL,78,29.7
2008-2009,Emeka Okafor,CHA,82,32.8
2008-2009,Mehmet Okur,UTA,72,33.5
2008-2009,Kevin Ollie,MIN,50,17.0
2008-2009,Travis Outlaw,POR,81,27.7
2008-2009,Zaza Pachulia,ATL,77,19.1
2008-2009,Anthony Parker,TOR,80,33.0
2008-2009,Tony Parker,SAS,72,34.1
2008-2009,Chris Paul,NOP,78,38.5
2008-2009,Sasha Pavlovic,CLE,66,16.0
2008-2009,Kendrick Perkins,BOS,76,29.6
2008-2009,Morris Peterson,NOP,43,12.0
2008-2009,Johan Petro,DEN,49,11.4
2008-2009,Paul Pierce,BOS,81,37.5
2008-2009,Mickael Pietrus,ORL,54,24.6
2008-2009,James Posey,NOP,75,28.5
2008-2009,Leon Powe,BOS,70,17.5
2008-2009,Josh Powell,LAL,60,11.7
2008-2009,Ronnie Price,UTA,52,14.2
2008-2009,Tayshaun Prince,DET,82,37.3
2008-2009,Joel Przybilla,POR,82,23.8
2008-2009,Chris Quinn,MIA,66,14.6
2008-2009,Vladimir Radmanovic,CHA,78,18.5
2008-2009,Anthony Randolph,GSW,63,17.9
2008-2009,Zach Randolph,LAC,50,35.1
2008-2009,Theo Ratliff,PHI,46,12.6
2008-2009,Michael Redd,MIL,33,36.4
2008-2009,J.J. Redick,ORL,64,17.4
2008-2009,Jason Richardson,PHX,72,33.5
2008-2009,Quentin Richardson,NYK,72,26.3
2008-2009,Luke Ridnour,MIL,72,28.2
2008-2009,Nate Robinson,NYK,74,29.8
2008-2009,Sergio Rodriguez,POR,80,15.3
2008-2009,Rajon Rondo,BOS,80,33.0
2008-2009,Derrick Rose,CHI,81,37.0
2008-2009,Quinton Ross,MEM,68,17.1
2008-2009,Brandon Roy,POR,78,37.2
