player,player_salary,season
Kevin Garnett,"$25,200,000",2002/03
Shaquille O'Neal,"$23,571,429",2002/03
Alonzo Mourning,"$20,629,800",2002/03
Juwan Howard,"$20,625,000",2002/03
Scottie Pippen,"$19,727,524",2002/03
Karl Malone,"$19,250,000",2002/03
Rasheed Wallace,"$16,200,000",2002/03
Dikembe Mutombo,"$16,105,264",2002/03
Allan Houston,"$14,343,750",2002/03
Chris Webber,"$14,343,750",2002/03
Shawn Kemp,"$13,651,028",2002/03
Bryant Reeves,"$12,999,998",2002/03
Gary Payton,"$12,636,117",2002/03
Antonio McDyess,"$12,600,000",2002/03
Shareef Abdur-Rahim,"$12,375,000",2002/03
Antoine Walker,"$12,375,000",2002/03
Vin Baker,"$12,375,000",2002/03
Zydrunas Ilgauskas,"$12,375,000",2002/03
Kobe Bryant,"$12,375,000",2002/03
Ray Allen,"$12,375,000",2002/03
Latrell Sprewell,"$12,375,000",2002/03
Allen Iverson,"$12,375,000",2002/03
Anfernee Hardaway,"$12,375,000",2002/03
Stephon Marbury,"$12,375,000",2002/03
Damon Stoudamire,"$12,375,000",2002/03
Jalen Rose,"$12,072,500",2002/03
Grant Hill,"$12,072,500",2002/03
Tracy McGrady,"$12,072,500",2002/03
Keith Van Horn,"$12,072,500",2002/03
Tim Duncan,"$12,072,500",2002/03
Reggie Miller,"$12,046,473",2002/03
Antonio Davis,"$12,000,000",2002/03
Michael Finley,"$11,953,125",2002/03
Vlade Divac,"$11,248,076",2002/03
Eddie Jones,"$11,212,500",2002/03
Nick Van Exel,"$11,061,234",2002/03
Brian Grant,"$11,027,862",2002/03
Tom Gugliotta,"$10,892,000",2002/03
Tim Thomas,"$10,750,000",2002/03
David Robinson,"$10,500,000",2002/03
Terrell Brandon,"$10,175,000",2002/03
Paul Pierce,"$10,067,750",2002/03
Dirk Nowitzki,"$10,067,750",2002/03
Antawn Jamison,"$10,067,750",2002/03
Vince Carter,"$10,067,750",2002/03
Steve Smith,"$9,900,000",2002/03
Glenn Robinson,"$9,860,000",2002/03
Larry Johnson,"$9,610,714",2002/03
Derrick Coleman,"$9,380,000",2002/03
Theo Ratliff,"$9,375,000",2002/03
Jason Kidd,"$9,265,000",2002/03
Glen Rice,"$9,200,000",2002/03
Kenny Anderson,"$9,185,000",2002/03
Kerry Kittles,"$8,966,667",2002/03
Matt Geiger,"$8,768,480",2002/03
Mike Bibby,"$8,500,000",2002/03
Clifford Robinson,"$8,421,875",2002/03
Dale Davis,"$8,055,000",2002/03
Toni Kukoc,"$8,050,000",2002/03
Elden Campbell,"$8,050,000",2002/03
John Stockton,"$7,875,000",2002/03
Greg Ostertag,"$7,799,996",2002/03
Jamal Mashburn,"$7,750,000",2002/03
Raef LaFrentz,"$7,270,000",2002/03
Maurice Taylor,"$7,150,000",2002/03
Derek Anderson,"$7,144,500",2002/03
Alan Henderson,"$7,091,250",2002/03
PJ Brown,"$7,044,800",2002/03
Wesley Person,"$7,000,000",2002/03
Austin Croshere,"$6,960,000",2002/03
Jermaine O'Neal,"$6,900,000",2002/03
Luc Longley,"$6,900,000",2002/03
Erick Dampier,"$6,858,500",2002/03
Arvydas Sabonis,"$6,850,000",2002/03
Marcus Camby,"$6,750,000",2002/03
Ron Mercer,"$6,750,000",2002/03
Kelvin Cato,"$6,696,000",2002/03
Tyrone Hill,"$6,600,000",2002/03
Bo Outlaw,"$6,585,000",2002/03
Jerry Stackhouse,"$6,375,000",2002/03
Bonzi Wells,"$6,300,000",2002/03
Doug Christie,"$6,250,000",2002/03
Rashard Lewis,"$6,233,766",2002/03
Nick Anderson,"$6,101,906",2002/03
Shandon Anderson,"$6,100,000",2002/03
Michael Olowokandi,"$6,061,213",2002/03
Lorenzen Wright,"$6,050,000",2002/03
Chris Mills,"$6,000,000",2002/03
Steve Nash,"$5,750,000",2002/03
Hakeem Olajuwon,"$5,694,231",2002/03
Eddie Robinson,"$5,687,000",2002/03
Bob Sura,"$5,639,999",2002/03
Tariq Abdul-Wahad,"$5,625,000",2002/03
Predrag Stojakovic,"$5,625,000",2002/03
Charlie Ward,"$5,570,000",2002/03
Jason Williams,"$5,500,000",2002/03
Michael Dickerson,"$5,500,000",2002/03
Loy Vaught,"$5,364,964",2002/03
Alvin Williams,"$5,350,000",2002/03
Howard Eisley,"$5,312,500",2002/03
Robert Horry,"$5,300,000",2002/03
Jason Caffey,"$5,250,000",2002/03
Jerome Williams,"$5,250,000",2002/03
Vitaly Potapenko,"$5,238,750",2002/03
Ben Wallace,"$5,200,000",2002/03
Donyell Marshall,"$5,186,542",2002/03
Christian Laettner,"$5,062,500",2002/03
Al Harrington,"$5,060,000",2002/03
Brent Barry,"$5,040,000",2002/03
Danny Fortson,"$5,039,068",2002/03
Eric Williams,"$5,004,000",2002/03
Brevin Knight,"$5,000,000",2002/03
Calvin Booth,"$4,992,900",2002/03
Avery Johnson,"$4,991,800",2002/03
Joe Smith,"$4,991,800",2002/03
Clarence Weatherspoon,"$4,991,800",2002/03
Todd MacCulloch,"$4,991,800",2002/03
Ruben Patterson,"$4,991,800",2002/03
Cuttino Mobley,"$4,903,750",2002/03
Kurt Thomas,"$4,903,750",2002/03
Jahidi White,"$4,903,750",2002/03
Elton Brand,"$4,895,656",2002/03
Sam Cassell,"$4,850,000",2002/03
Scot Pollard,"$4,826,874",2002/03
Brad Miller,"$4,800,000",2002/03
Nazr Mohammed,"$4,750,000",2002/03
Ricky Davis,"$4,546,000",2002/03
Chauncey Billups,"$4,546,000",2002/03
Devean George,"$4,546,000",2002/03
Jerome James,"$4,546,000",2002/03
Keon Clark,"$4,546,000",2002/03
Danny Ferry,"$4,546,000",2002/03
Larry Hughes,"$4,546,000",2002/03
Mark Jackson,"$4,530,000",2002/03
Corliss Williamson,"$4,500,000",2002/03
Aaron McKie,"$4,500,000",2002/03
Jim McIlvaine,"$4,400,000",2002/03
Adonal Foyle,"$4,400,000",2002/03
Steve Francis,"$4,383,581",2002/03
Anthony Mason,"$4,370,819",2002/03
Malik Rose,"$4,370,000",2002/03
Rick Fox,"$4,340,231",2002/03
Derek Strong,"$4,212,000",2002/03
Michael Stewart,"$4,160,000",2002/03
Eric Snow,"$4,125,000",2002/03
Lamond Murray,"$4,125,000",2002/03
Kenyon Martin,"$4,067,160",2002/03
Brent Price,"$4,048,000",2002/03
Darrell Armstrong,"$4,010,000",2002/03
Tony Battie,"$4,000,000",2002/03
Shawn Bradley,"$4,000,000",2002/03
Travis Knight,"$4,000,000",2002/03
Matt Harpring,"$4,000,000",2002/03
Ervin Johnson,"$3,998,679",2002/03
Kwame Brown,"$3,974,760",2002/03
Baron Davis,"$3,942,922",2002/03
Lindsey Hunter,"$3,870,912",2002/03
Yao Ming,"$3,858,240",2002/03
Zeljko Rebraca,"$3,850,000",2002/03
Tracy Murray,"$3,740,000",2002/03
Anthony Carter,"$3,656,250",2002/03
Stromile Swift,"$3,639,000",2002/03
Chucky Atkins,"$3,600,000",2002/03
David Wesley,"$3,600,000",2002/03
Marc Jackson,"$3,575,000",2002/03
Lamar Odom,"$3,557,585",2002/03
Tyson Chandler,"$3,556,200",2002/03
Bruce Bowen,"$3,550,000",2002/03
Jay Williams,"$3,451,920",2002/03
Jud Buechler,"$3,450,000",2002/03
Antonio Daniels,"$3,375,000",2002/03
Anthony Peeler,"$3,350,812",2002/03
Lawrence Funderburke,"$3,300,000",2002/03
Darius Miles,"$3,267,960",2002/03
Andrew DeClercq,"$3,262,500",2002/03
Jonathan Bender,"$3,226,745",2002/03
Pau Gasol,"$3,193,680",2002/03
Jon Barry,"$3,175,000",2002/03
Moochie Norris,"$3,150,000",2002/03
Evan Eschmeyer,"$3,103,800",2002/03
Mike Dunleavy,"$3,100,080",2002/03
LaPhonso Ellis,"$3,100,000",2002/03
Eduardo Najera,"$3,047,620",2002/03
Chris Whitney,"$3,000,000",2002/03
Eric Piatkowski,"$3,000,000",2002/03
Derek Fisher,"$3,000,000",2002/03
Michael Redd,"$3,000,000",2002/03
Jeff McInnis,"$3,000,000",2002/03
Marcus Fizer,"$2,946,240",2002/03
Matt Maloney,"$2,945,716",2002/03
Wally Szczerbiak,"$2,933,187",2002/03
Eddy Curry,"$2,879,280",2002/03
Rodney Rogers,"$2,796,000",2002/03
Drew Gooden,"$2,794,920",2002/03
Chris Crawford,"$2,750,000",2002/03
Eric Montross,"$2,720,000",2002/03
Tony Delk,"$2,700,000",2002/03
Aaron Williams,"$2,700,000",2002/03
Othella Harrington,"$2,700,000",2002/03
Randy Brown,"$2,700,000",2002/03
Bobby Jackson,"$2,700,000",2002/03
Hubert Davis,"$2,687,500",2002/03
Richard Hamilton,"$2,681,783",2002/03
Mike Miller,"$2,668,080",2002/03
Horace Grant,"$2,661,538",2002/03
Lucious Harris,"$2,640,000",2002/03
Sean Rooks,"$2,640,000",2002/03
Steve Kerr,"$2,625,000",2002/03
Jason Richardson,"$2,607,360",2002/03
Jamie Feick,"$2,600,000",2002/03
Michael Curry,"$2,600,000",2002/03
George Lynch,"$2,600,000",2002/03
George McCloud,"$2,599,900",2002/03
Tony Massenburg,"$2,541,098",2002/03
Nikoloz Tskitishvili,"$2,530,920",2002/03
Andre Miller,"$2,460,709",2002/03
Mikki Moore,"$2,459,142",2002/03
Radoslav Nesterovic,"$2,436,813",2002/03
DerMarr Johnson,"$2,423,280",2002/03
Bimbo Coles,"$2,400,000",2002/03
Stacey Augmon,"$2,400,000",2002/03
Greg Buckner,"$2,400,000",2002/03
John Amaechi,"$2,392,500",2002/03
Shane Battier,"$2,368,200",2002/03
Pat Garrity,"$2,350,000",2002/03
Dajuan Wagner,"$2,298,840",2002/03
Shawn Marion,"$2,265,375",2002/03
Chris Mihm,"$2,212,200",2002/03
Eddie Griffin,"$2,161,920",2002/03
Jason Terry,"$2,153,934",2002/03
Cory Alexander,"$2,149,259",2002/03
Corey Maggette,"$2,069,764",2002/03
Lorenzo Williams,"$2,068,000",2002/03
Jamal Crawford,"$2,026,680",2002/03
Shammond Williams,"$2,000,000",2002/03
Bryant Stith,"$2,000,000",2002/03
Troy Hudson,"$2,000,000",2002/03
DeSagana Diop,"$1,980,600",2002/03
Nenê,"$1,945,520",2002/03
Chris Wilcox,"$1,922,520",2002/03
Metta World Peace,"$1,904,860",2002/03
Wang Zhizhi,"$1,900,000",2002/03
Tyronn Lue,"$1,870,000",2002/03
Joel Przybilla,"$1,862,880",2002/03
